[2026-04-04 08:39:58] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 08:41:44] RISK LOW | IP=127.0.0.1 | score=15.0
[2026-04-04 08:41:44] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 08:41:57] RISK LOW | IP=127.0.0.1 | score=29.3
[2026-04-04 08:41:57] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 08:42:37] RISK MEDIUM | IP=127.0.0.1 | score=42.3
[2026-04-04 08:42:37] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 08:42:37] RISK MEDIUM | IP=127.0.0.1 | score=57.3
[2026-04-04 08:42:37] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 08:42:38] RISK HIGH | IP=127.0.0.1 | score=72.3
[2026-04-04 08:42:38] BLOCKED | IP=127.0.0.1
[2026-04-04 08:42:38] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 08:46:26] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 08:50:16] RISK MEDIUM | IP=127.0.0.1 | score=64.4
[2026-04-04 08:50:16] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 08:50:25] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 08:55:23] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 08:58:08] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 09:14:36] RISK LOW | IP=127.0.0.1 | score=15.0
[2026-04-04 09:14:36] AUTH FAILURE | IP=127.0.0.1 | user=tgk
[2026-04-04 09:14:37] RISK LOW | IP=127.0.0.1 | score=29.9
[2026-04-04 09:14:37] AUTH FAILURE | IP=127.0.0.1 | user=tgk
[2026-04-04 09:14:38] RISK MEDIUM | IP=127.0.0.1 | score=44.9
[2026-04-04 09:14:38] AUTH FAILURE | IP=127.0.0.1 | user=tgk
[2026-04-04 09:14:38] RISK MEDIUM | IP=127.0.0.1 | score=59.9
[2026-04-04 09:14:38] AUTH FAILURE | IP=127.0.0.1 | user=tgk
[2026-04-04 09:14:39] RISK HIGH | IP=127.0.0.1 | score=74.8
[2026-04-04 09:14:39] BLOCKED | IP=127.0.0.1
[2026-04-04 09:14:39] AUTH FAILURE | IP=127.0.0.1 | user=tgk
[2026-04-04 09:15:27] RISK LOW | IP=127.0.0.1 | score=15.0
[2026-04-04 09:15:27] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:15:28] RISK LOW | IP=127.0.0.1 | score=29.9
[2026-04-04 09:15:28] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:15:35] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 09:16:17] RISK MEDIUM | IP=127.0.0.1 | score=42.5
[2026-04-04 09:16:17] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:16:18] RISK MEDIUM | IP=127.0.0.1 | score=57.4
[2026-04-04 09:16:18] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:16:18] RISK HIGH | IP=127.0.0.1 | score=72.4
[2026-04-04 09:16:18] BLOCKED | IP=127.0.0.1
[2026-04-04 09:16:18] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:19:51] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 09:20:37] RISK LOW | IP=127.0.0.1 | score=15.0
[2026-04-04 09:20:37] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:20:38] RISK LOW | IP=127.0.0.1 | score=30.0
[2026-04-04 09:20:38] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:20:38] RISK MEDIUM | IP=127.0.0.1 | score=45.0
[2026-04-04 09:20:38] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:20:39] RISK MEDIUM | IP=127.0.0.1 | score=59.9
[2026-04-04 09:20:39] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:20:39] RISK HIGH | IP=127.0.0.1 | score=74.9
[2026-04-04 09:20:39] BLOCKED | IP=127.0.0.1
[2026-04-04 09:20:39] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:25:26] RISK LOW | IP=127.0.0.1 | score=15.0
[2026-04-04 09:25:26] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:25:35] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 09:26:32] RISK LOW | IP=127.0.0.1 | score=26.7
[2026-04-04 09:26:32] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:26:33] RISK MEDIUM | IP=127.0.0.1 | score=41.6
[2026-04-04 09:26:33] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:26:33] RISK MEDIUM | IP=127.0.0.1 | score=56.6
[2026-04-04 09:26:33] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:26:34] RISK HIGH | IP=127.0.0.1 | score=71.6
[2026-04-04 09:26:34] BLOCKED | IP=127.0.0.1
[2026-04-04 09:26:34] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:28:36] AUTH SUCCESS | IP=127.0.0.1 | user=admin
[2026-04-04 09:29:20] RISK LOW | IP=127.0.0.1 | score=15.0
[2026-04-04 09:29:20] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:29:20] RISK LOW | IP=127.0.0.1 | score=30.0
[2026-04-04 09:29:20] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:29:21] RISK MEDIUM | IP=127.0.0.1 | score=45.0
[2026-04-04 09:29:21] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:29:21] RISK MEDIUM | IP=127.0.0.1 | score=59.9
[2026-04-04 09:29:21] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:29:22] RISK HIGH | IP=127.0.0.1 | score=74.9
[2026-04-04 09:29:22] BLOCKED | IP=127.0.0.1
[2026-04-04 09:29:22] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:43:26] RISK LOW | IP=127.0.0.1 | score=15.0
[2026-04-04 09:43:26] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:43:26] RISK LOW | IP=127.0.0.1 | score=30.0
[2026-04-04 09:43:26] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:43:27] RISK MEDIUM | IP=127.0.0.1 | score=45.0
[2026-04-04 09:43:27] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:43:27] RISK MEDIUM | IP=127.0.0.1 | score=59.9
[2026-04-04 09:43:27] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:43:28] RISK HIGH | IP=127.0.0.1 | score=74.9
[2026-04-04 09:43:28] BLOCKED | IP=127.0.0.1
[2026-04-04 09:43:28] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:47:08] RISK LOW | IP=127.0.0.1 | score=15.0
[2026-04-04 09:47:08] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:47:09] RISK LOW | IP=127.0.0.1 | score=30.0
[2026-04-04 09:47:09] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:47:09] RISK MEDIUM | IP=127.0.0.1 | score=45.0
[2026-04-04 09:47:09] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:47:10] RISK MEDIUM | IP=127.0.0.1 | score=59.9
[2026-04-04 09:47:10] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 09:47:10] RISK HIGH | IP=127.0.0.1 | score=74.9
[2026-04-04 09:47:10] BLOCKED | IP=127.0.0.1
[2026-04-04 09:47:10] AUTH FAILURE | IP=127.0.0.1 | user=admin
[2026-04-04 10:16:36] AUTH SUCCESS | IP=127.0.0.1 | user=admin
