[2026-04-04 08:41:44] RISK | IP=127.0.0.1 | score=15.0 | level=LOW | trigger=failed_login
[2026-04-04 08:41:57] RISK | IP=127.0.0.1 | score=29.3 | level=LOW | trigger=failed_login
[2026-04-04 08:42:37] RISK | IP=127.0.0.1 | score=42.3 | level=MEDIUM | trigger=failed_login
[2026-04-04 08:42:37] RISK | IP=127.0.0.1 | score=57.3 | level=MEDIUM | trigger=failed_login
[2026-04-04 08:42:38] RISK | IP=127.0.0.1 | score=72.3 | level=HIGH | trigger=failed_login
[2026-04-04 08:50:16] RISK | IP=127.0.0.1 | score=64.4 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:14:36] RISK | IP=127.0.0.1 | score=15.0 | level=LOW | trigger=failed_login
[2026-04-04 09:14:37] RISK | IP=127.0.0.1 | score=29.9 | level=LOW | trigger=failed_login
[2026-04-04 09:14:38] RISK | IP=127.0.0.1 | score=44.9 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:14:38] RISK | IP=127.0.0.1 | score=59.9 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:14:39] RISK | IP=127.0.0.1 | score=74.8 | level=HIGH | trigger=failed_login
[2026-04-04 09:15:27] RISK | IP=127.0.0.1 | score=15.0 | level=LOW | trigger=failed_login
[2026-04-04 09:15:28] RISK | IP=127.0.0.1 | score=29.9 | level=LOW | trigger=failed_login
[2026-04-04 09:16:17] RISK | IP=127.0.0.1 | score=42.5 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:16:18] RISK | IP=127.0.0.1 | score=57.4 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:16:18] RISK | IP=127.0.0.1 | score=72.4 | level=HIGH | trigger=failed_login
[2026-04-04 09:20:37] RISK | IP=127.0.0.1 | score=15.0 | level=LOW | trigger=failed_login
[2026-04-04 09:20:38] RISK | IP=127.0.0.1 | score=30.0 | level=LOW | trigger=failed_login
[2026-04-04 09:20:38] RISK | IP=127.0.0.1 | score=45.0 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:20:39] RISK | IP=127.0.0.1 | score=59.9 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:20:39] RISK | IP=127.0.0.1 | score=74.9 | level=HIGH | trigger=failed_login
[2026-04-04 09:25:26] RISK | IP=127.0.0.1 | score=15.0 | level=LOW | trigger=failed_login
[2026-04-04 09:26:32] RISK | IP=127.0.0.1 | score=26.7 | level=LOW | trigger=failed_login
[2026-04-04 09:26:33] RISK | IP=127.0.0.1 | score=41.6 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:26:33] RISK | IP=127.0.0.1 | score=56.6 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:26:34] RISK | IP=127.0.0.1 | score=71.6 | level=HIGH | trigger=failed_login
[2026-04-04 09:29:20] RISK | IP=127.0.0.1 | score=15.0 | level=LOW | trigger=failed_login
[2026-04-04 09:29:20] RISK | IP=127.0.0.1 | score=30.0 | level=LOW | trigger=failed_login
[2026-04-04 09:29:21] RISK | IP=127.0.0.1 | score=45.0 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:29:21] RISK | IP=127.0.0.1 | score=59.9 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:29:22] RISK | IP=127.0.0.1 | score=74.9 | level=HIGH | trigger=failed_login
[2026-04-04 09:43:26] RISK | IP=127.0.0.1 | score=15.0 | level=LOW | trigger=failed_login
[2026-04-04 09:43:26] RISK | IP=127.0.0.1 | score=30.0 | level=LOW | trigger=failed_login
[2026-04-04 09:43:27] RISK | IP=127.0.0.1 | score=45.0 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:43:27] RISK | IP=127.0.0.1 | score=59.9 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:43:28] RISK | IP=127.0.0.1 | score=74.9 | level=HIGH | trigger=failed_login
[2026-04-04 09:47:08] RISK | IP=127.0.0.1 | score=15.0 | level=LOW | trigger=failed_login
[2026-04-04 09:47:09] RISK | IP=127.0.0.1 | score=30.0 | level=LOW | trigger=failed_login
[2026-04-04 09:47:09] RISK | IP=127.0.0.1 | score=45.0 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:47:10] RISK | IP=127.0.0.1 | score=59.9 | level=MEDIUM | trigger=failed_login
[2026-04-04 09:47:10] RISK | IP=127.0.0.1 | score=74.9 | level=HIGH | trigger=failed_login
